PIDM_KEY	CLAS_CODE	CRN_KEY	SUBJ_CODE	COURSE_NUMBER	SECTION_NUMBER	TERM_CODE_KEY
259955	13	10413	AST	110	1	201210
265351	14	10413	AST	110	1	201210
267594	12	10413	AST	110	1	201210
279009	14	10413	AST	110	1	201210
288404	13	10413	AST	110	1	201210
298148	14	10413	AST	110	1	201210
302166	14	10413	AST	110	1	201210
303284	14	10413	AST	110	1	201210
304197	14	10413	AST	110	1	201210
305030	14	10413	AST	110	1	201210
307158	14	10413	AST	110	1	201210
307292	14	10413	AST	110	1	201210
308910	14	10413	AST	110	1	201210
309789	14	10413	AST	110	1	201210
315746	15	10413	AST	110	1	201210
316735	14	10413	AST	110	1	201210
318665	15	10413	AST	110	1	201210
325353	15	10413	AST	110	1	201210
325651	15	10413	AST	110	1	201210
326703	15	10413	AST	110	1	201210
327546	15	10413	AST	110	1	201210
327842	15	10413	AST	110	1	201210
327883	15	10413	AST	110	1	201210
327928	15	10413	AST	110	1	201210
328134	15	10413	AST	110	1	201210
328426	15	10413	AST	110	1	201210
331591	15	10413	AST	110	1	201210
332571	15	10413	AST	110	1	201210
332608	15	10413	AST	110	1	201210
333005	15	10413	AST	110	1	201210
333220	15	10413	AST	110	1	201210
333363	15	10413	AST	110	1	201210
334009	15	10413	AST	110	1	201210
334096	15	10413	AST	110	1	201210
335824	15	10413	AST	110	1	201210
338213	15	10413	AST	110	1	201210
342077	15	10413	AST	110	1	201210
