PIDM_KEY	CLAS_CODE	CRN_KEY	SUBJ_CODE	COURSE_NUMBER	SECTION_NUMBER	TERM_CODE_KEY
278404	13	10414	AST	110	2	201210
280529	13	10414	AST	110	2	201210
282549	13	10414	AST	110	2	201210
298429	14	10414	AST	110	2	201210
299886	14	10414	AST	110	2	201210
301356	14	10414	AST	110	2	201210
308606	14	10414	AST	110	2	201210
317160	14	10414	AST	110	2	201210
317232	14	10414	AST	110	2	201210
320352	15	10414	AST	110	2	201210
321122	15	10414	AST	110	2	201210
321817	15	10414	AST	110	2	201210
322335	15	10414	AST	110	2	201210
322710	15	10414	AST	110	2	201210
323541	15	10414	AST	110	2	201210
325552	15	10414	AST	110	2	201210
327099	15	10414	AST	110	2	201210
327965	15	10414	AST	110	2	201210
328300	15	10414	AST	110	2	201210
329009	15	10414	AST	110	2	201210
330610	15	10414	AST	110	2	201210
331831	15	10414	AST	110	2	201210
332575	15	10414	AST	110	2	201210
332676	15	10414	AST	110	2	201210
332777	15	10414	AST	110	2	201210
334585	15	10414	AST	110	2	201210
336663	15	10414	AST	110	2	201210
337960	15	10414	AST	110	2	201210
