PIDM_KEY	CLAS_CODE	CRN_KEY	SUBJ_CODE	COURSE_NUMBER	SECTION_NUMBER	TERM_CODE_KEY
282346	13	10871	EDU	223	2	201210
287095	14	10871	EDU	223	2	201210
305616	15	10871	EDU	223	2	201210
320022	15	10871	EDU	223	2	201210
321007	15	10871	EDU	223	2	201210
321079	15	10871	EDU	223	2	201210
321319	15	10871	EDU	223	2	201210
321755	15	10871	EDU	223	2	201210
326299	15	10871	EDU	223	2	201210
326533	15	10871	EDU	223	2	201210
326798	15	10871	EDU	223	2	201210
327604	15	10871	EDU	223	2	201210
327842	15	10871	EDU	223	2	201210
327874	15	10871	EDU	223	2	201210
328234	15	10871	EDU	223	2	201210
331591	15	10871	EDU	223	2	201210
334299	15	10871	EDU	223	2	201210
335074	15	10871	EDU	223	2	201210
335075	15	10871	EDU	223	2	201210
335077	15	10871	EDU	223	2	201210
336108	15	10871	EDU	223	2	201210
337130	15	10871	EDU	223	2	201210
