PIDM_KEY	CLAS_CODE	CRN_KEY	SUBJ_CODE	COURSE_NUMBER	SECTION_NUMBER	TERM_CODE_KEY
260164	12	10895	SOC	216	1	201210
279848	13	10895	SOC	216	1	201210
290294	13	10895	SOC	216	1	201210
290930	13	10895	SOC	216	1	201210
293872	14	10895	SOC	216	1	201210
298569	14	10895	SOC	216	1	201210
298957	14	10895	SOC	216	1	201210
299831	14	10895	SOC	216	1	201210
299907	14	10895	SOC	216	1	201210
300581	14	10895	SOC	216	1	201210
302166	14	10895	SOC	216	1	201210
307502	14	10895	SOC	216	1	201210
308211	14	10895	SOC	216	1	201210
313912	14	10895	SOC	216	1	201210
315188	14	10895	SOC	216	1	201210
318006	13	10895	SOC	216	1	201210
318202	14	10895	SOC	216	1	201210
336592	15	10895	SOC	216	1	201210
