PIDM_KEY	CLAS_CODE	CRN_KEY	SUBJ_CODE	COURSE_NUMBER	SECTION_NUMBER	TERM_CODE_KEY
257329	12	10797	SOC	325	1	201210
260164	12	10797	SOC	325	1	201210
265406	14	10797	SOC	325	1	201210
278822	13	10797	SOC	325	1	201210
279268	13	10797	SOC	325	1	201210
285206	13	10797	SOC	325	1	201210
287454	13	10797	SOC	325	1	201210
287759	13	10797	SOC	325	1	201210
288163	13	10797	SOC	325	1	201210
289815	13	10797	SOC	325	1	201210
290972	13	10797	SOC	325	1	201210
291249	13	10797	SOC	325	1	201210
296315	13	10797	SOC	325	1	201210
318641	14	10797	SOC	325	1	201210
